"Book Title","ISBN","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"White Teeth","9780375703867","Zadie Smith","English","448","Vintage","June 12th 2001","['Fiction', 'Contemporary', 'Novels']","https://www.goodreads.com/book/show/3711.White_Teeth"
"Blink: The Power of Thinking Without Thinking","9780316010665","Malcolm Gladwell","English","296","Back Bay Books","April 3rd 2007","['Nonfiction', 'Psychology', 'Business', 'Science', 'Self Help']","https://www.goodreads.com/book/show/40102.Blink"
"Fast Food Nation: The Dark Side of the All-American Meal","9780060838584","Eric Schlosser","English","399","Harper Perennial","July 5th 2005","['Nonfiction', 'Food and Drink', 'Food', 'Health', 'Sociology', 'Politics', 'History', 'Science', 'Academic', 'School', 'Health', 'Nutrition', 'Cultural']","https://www.goodreads.com/book/show/1097.Fast_Food_Nation"
"Anansi Boys","9780060515195","Neil Gaiman","English","384","HarperCollins HarperTorch","September 26th 2006","['Fantasy', 'Fiction', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Mythology']","https://www.goodreads.com/book/show/2744.Anansi_Boys"
"John Adams","9780743223133","David McCullough","English","751","Simon & Schuster Paperbacks","May 22nd 2001","['History', 'Biography', 'Nonfiction', 'North American Hi...', 'American History', 'Politics', 'Presidents', 'Politics', 'Historical', 'Biography Memoir', 'Military History', 'American Revolution', 'Literature', 'American']","https://www.goodreads.com/book/show/2203.John_Adams"
"Year of Wonders","9780142001431","Geraldine Brooks","English","358","Penguin Books","April 30th 2002","['Historical', 'Historical Fiction', 'Fiction', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/4965.Year_of_Wonders"
"Daughter of Fortune","9780061120251","Isabel Allende","English","432","Harper Perennial","May 2nd 2006","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Romance']","https://www.goodreads.com/book/show/16527.Daughter_of_Fortune"
"What Is the What","9781932416640","Dave Eggers","English","475","McSweeney's","October 18th 2006","['Autobiography', 'Memoir', 'Nonfiction', 'War', 'History', 'Literature', 'Abandoned', 'Audiobook', 'Contemporary', 'Biography Memoir', 'Literary Fiction']","https://www.goodreads.com/book/show/4952.What_Is_the_What"
"Peace Like a River","9780802139252","Leif Enger","English","312","Atlantic Monthly Press","August 7th 2002","['Fiction', 'Historical', 'Historical Fiction', 'Book Club', 'Adult Fiction', 'Adult', 'Contemporary', 'Novels', 'Literary Fiction', 'Family', 'Young Adult', 'Coming Of Age']","https://www.goodreads.com/book/show/227571.Peace_Like_a_River"
"The Audacity of Hope: Thoughts on Reclaiming the American Dream","9780307237699","Barack Obama","English","375","Crown","October 17th 2006","['Nonfiction', 'Politics', 'Biography', 'Autobiography', 'Memoir', 'Biography', 'Autobiography']","https://www.goodreads.com/book/show/9742.The_Audacity_of_Hope"
"The Last Olympian (Percy Jackson and the Olympians, #5)","9780739380338","Rick Riordan","English","381","","May 12th 2009","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology', 'Fiction']","https://www.goodreads.com/book/show/4502507-the-last-olympian"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)","9780786856862","Rick Riordan","English","279","Hyperion Books","April 1st 2006","['Fiction', 'Childrens']","https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters"
"Inkheart (Inkworld, #1)","9780439709101","Cornelia Funke","English","548","Scholastic Paperbacks","June 1st 2005","['Young Adult', 'Fantasy', 'Fiction']","https://www.goodreads.com/book/show/28194.Inkheart"
"Animal, Vegetable, Miracle: A Year of Food Life","9780060852559","Barbara Kingsolver","English","370","HarperCollins Publishers","May 1st 2007","['Nonfiction', 'Food and Drink', 'Food', 'Autobiography', 'Memoir', 'Environment', 'Nature', 'Food and Drink', 'Cookbooks']","https://www.goodreads.com/book/show/25460.Animal_Vegetable_Miracle"
