ID,SIM1,SIM2,SIM3,SIM4,SIM5,SIM6,SIM7,SIM8,SIM9,SIM10
100361,301069,100012,300008,205458,200411,100415,103518,203771,200586,100575
100362,100096,304543,106582,200889,202536,200118,203728,102108,100664,401140
100363,103487,302876,304384,303999,400815,304543,402423,100266,202021,201820
100364,300023,204020,202745,104863,202570,100594,100556,302454,200034,205386
100365,101193,105466,305729,205609,202109,303999,104872,401151,203512,100528
100366,105786,100118,102516,200778,200249,200118,200383,104863,203304,200005
100367,102039,103753,103082,205398,104582,500245,203863,202355,104304,305765
100368,106485,202160,203158,204654,300008,302866,200118,101541,200889,101511
100369,300084,200408,100064,100736,101586,304373,301800,203881,100039,205320
100370,100053,100213,200032,106079,202745,205141,201102,200016,101945,200205
100371,100845,100877,100584,202785,203021,101546,103912,304447,101070,204088
100372,101805,205078,100023,100555,203925,300659,101515,304522,100504,101633
100373,101436,101166,100136,202907,301068,205221,200647,202570,104533,202384
100374,104784,100328,203846,100188,203900,100524,100661,100262,105538,201317
100375,202796,205170,201108,106468,202849,205156,103211,101167,300591,400840
100376,203772,106081,201479,100162,201169,204287,303999,300563,100071,203512
100377,302639,301649,302748,204695,201524,300902,400162,401093,303267,201988
100378,102894,100175,100102,205111,301438,300593,203838,102480,200907,200387
100379,302586,202575,100821,300272,203512,300087,202536,100132,306193,304460
100380,101167,205459,203479,201421,200431,304396,100943,300025,100760,100088
100381,101859,200536,105492,200303,103074,103487,100399,300015,204034,203936
100382,102786,100297,201543,104331,102639,201534,200330,106562,200068,200356
100383,205677,100778,100504,202617,203808,200216,104215,100904,100019,301621
100384,201304,200216,100292,103475,101205,200508,200032,302420,304932,200910
100385,200345,103998,201566,100530,100645,205289,100292,202972,100024,202107
100386,200451,101410,200440,100890,100340,100815,100830,100292,100336,300310
100387,100327,203337,105620,303895,200876,100079,202450,205039,202580,200419
100388,202744,101777,204813,301743,304415,103298,201577,200541,204735,204686
100389,300667,300111,204852,301378,101541,202248,300573,101975,100366,200448
100390,203042,104891,202334,301841,105059,201208,104110,203852,306203,100567
100391,106250,100286,204528,105327,100730,200216,100480,304579,105226,100467
100392,202066,204621,205278,200015,200032,100004,300061,200800,204832,200005
100393,100033,200466,200118,200005,200027,100106,200301,202496,200797,202276
100394,105334,200856,200542,201978,200560,401879,101193,101970,201035,200596
100395,105885,103665,101977,101572,203555,200054,203512,201869,200933,101972
100396,100350,100226,203789,100311,100151,100356,100359,100578,101273,100318
100397,201391,202641,100024,105614,200054,200118,103074,104605,101699,205492
100398,200586,100327,301649,203042,200034,204254,101805,200408,204672,304932
100399,100949,101170,100939,400875,200320,101510,301841,202080,201524,106596
100400,200608,100345,200403,100194,100588,100473,100496,200316,100580,100421
100401,305709,103309,202570,205057,201075,100520,101193,301725,402409,203184
100402,401037,102812,204243,202537,101174,300813,106328,300000,204923,100762
100403,105327,105474,300683,101252,301889,300452,302451,104812,203769,106495
100404,102266,100207,105322,202040,301688,200118,201044,103791,101659,203972
100405,301887,204287,201910,102108,103791,303897,300127,302656,301068,202273
100406,100886,302637,300563,106459,304579,200383,100504,303897,204896,300087
100407,302610,300270,300333,302776,202592,302993,303802,101787,302522,400595
100408,203951,101193,203512,303999,100528,105808,200647,200587,202536,402088
100409,202968,401256,304442,304495,101903,100184,105916,205726,305959,106735
100410,204567,200676,204813,201401,101777,100285,200889,100016,101534,100007
100411,101837,300312,105293,103970,100297,101103,100366,304809,104996,201031
100412,203204,101193,100802,201200,100012,200376,202537,201116,302256,205320
100413,105700,204540,402409,305709,100079,305911,204247,106180,204291,200219
