"Book Title","ISBN","Rating","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"Blink: The Power of Thinking Without Thinking","9780316010665","3.9","Malcolm Gladwell","English","296","Back Bay Books","April 3rd 2007","['Nonfiction', 'Psychology', 'Business', 'Science', 'Self Help']","https://www.goodreads.com/book/show/40102.Blink"
"Fast Food Nation: The Dark Side of the All-American Meal","9780060838584","3.73","Eric Schlosser","English","399","Harper Perennial","July 5th 2005","['Nonfiction', 'Food and Drink', 'Food', 'Health', 'Sociology', 'Politics', 'History', 'Science', 'Academic', 'School', 'Health', 'Nutrition', 'Cultural']","https://www.goodreads.com/book/show/1097.Fast_Food_Nation"
"Anansi Boys","9780060515195","4.01","Neil Gaiman","English","384","HarperCollins HarperTorch","September 26th 2006","['Fantasy', 'Fiction', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Mythology']","https://www.goodreads.com/book/show/2744.Anansi_Boys"
"John Adams","9780743223133","4.05","David McCullough","English","751","Simon & Schuster Paperbacks","May 22nd 2001","['History', 'Biography', 'Nonfiction', 'North American Hi...', 'American History', 'Politics', 'Presidents']","https://www.goodreads.com/book/show/2203.John_Adams"
"Year of Wonders","9780142001431","4.0","Geraldine Brooks","English","358","Penguin Books","April 30th 2002","['Historical', 'Historical Fiction', 'Fiction', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/4965.Year_of_Wonders"
"Daughter of Fortune","9780061120251","3.89","Isabel Allende","English","432","Harper Perennial","May 2nd 2006","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Romance']","https://www.goodreads.com/book/show/16527.Daughter_of_Fortune"
"What Is the What","9781932416640","4.16","Dave Eggers","English","475","McSweeney's","October 18th 2006","['Autobiography', 'Memoir', 'Nonfiction', 'War', 'History']","https://www.goodreads.com/book/show/4952.What_Is_the_What"
"Peace Like a River","9780802139252","3.98","Leif Enger","English","312","Atlantic Monthly Press","August 7th 2002","['Fiction', 'Historical', 'Historical Fiction', 'Book Club']","https://www.goodreads.com/book/show/227571.Peace_Like_a_River"
"The Audacity of Hope: Thoughts on Reclaiming the American Dream","9780307237699","3.71","Barack Obama","English","375","Crown","October 17th 2006","['Nonfiction', 'Politics', 'Biography', 'Autobiography', 'Memoir', 'Biography', 'Autobiography']","https://www.goodreads.com/book/show/9742.The_Audacity_of_Hope"
"The Last Olympian (Percy Jackson and the Olympians, #5)","9780739380338","4.5","Rick Riordan","English","381","","May 12th 2009","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology']","https://www.goodreads.com/book/show/4502507-the-last-olympian"
