Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL,,,,,,,,
Kafka on the Shore,9781400079278,https://dj6cnfthgyqas.cloudfront.net/1400079276-original.jpg,$13.99,https://play.google.com/store/books/details/Haruki_Murakami_Kafka_on_the_Shore?id=ypQHO-JWFKgC,$11.07,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781400079278,$16.00,http://www.indiebound.org/book/9781400079278?aff=rifflebooks,,,,,,,,
The Memory Keeper's Daughter,9780143037149,https://dj6cnfthgyqas.cloudfront.net/0143037145-original.jpg,$14.99,https://play.google.com/store/books/details/Kim_Edwards_The_Memory_Keeper_s_Daughter?id=9w0sM0dH9e0C,$10.32,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780143037149,$16.00,http://www.indiebound.org/book/9780143037149?aff=rifflebooks,,,,,,,,
The Namesake,9780618485222,https://dj6cnfthgyqas.cloudfront.net/0618485228-original.jpg,$12.28,https://play.google.com/store/books/details/Jhumpa_Lahiri_The_Namesake?id=vYgvH9XXvU8C,$10.07,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780618485222,$15.99,http://www.indiebound.org/book/9780618485222?aff=rifflebooks,,,,,,,,
The Brief Wondrous Life of Oscar Wao,9781594489587,https://dj6cnfthgyqas.cloudfront.net/1594489580-original.jpg,$10.99,https://play.google.com/store/books/details/Junot_D%C3%ADaz_The_Brief_Wondrous_Life_of_Oscar_Wao?id=_YVO217NhC0C,$21.82,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781594489587,$26.00,http://www.indiebound.org/book/9781594489587?aff=rifflebooks,,,,,,,,
"Persepolis: The Story of a Childhood (Persepolis, #1)",9780375714573,https://dj6cnfthgyqas.cloudfront.net/037571457X-original.jpg,,,$9.42,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780375714573,$14.95,http://www.indiebound.org/book/9780375714573?aff=rifflebooks,,,,,,,,
The Art of Racing in the Rain,9781554681723,https://dj6cnfthgyqas.cloudfront.net/1554681723-original.jpg,$11.99,https://play.google.com/store/books/details/Garth_Stein_The_Art_of_Racing_in_the_Rain?id=s8zIH7dnYCsC,,,,,,,,,,,,
The Corrections,9781841156736,https://dj6cnfthgyqas.cloudfront.net/1841156736-original.jpg,$11.99,https://play.google.com/store/books/details/Jonathan_Franzen_The_Corrections?id=PU3fAAAAQBAJ,,,,,,,,,,,,
"Oryx and Crake (MaddAddam, #1)",9780385721677,https://dj6cnfthgyqas.cloudfront.net/0385721676-original.jpg,,,$10.97,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385721677,$16.00,http://www.indiebound.org/book/9780385721677?aff=rifflebooks,,,,,,,,
Running with Scissors,9780312422271,https://dj6cnfthgyqas.cloudfront.net/031242227X-original.jpg,$10.99,https://play.google.com/store/books/details/Augusten_Burroughs_Running_with_Scissors?id=Jtl22vJHVlkC,$11.48,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780312422271,$17.00,http://www.indiebound.org/book/9780312422271?aff=rifflebooks,,,,,,,,
No Country for Old Men,9780375706677,https://dj6cnfthgyqas.cloudfront.net/0375706674-original.jpg,$13.99,https://play.google.com/store/books/details/Cormac_McCarthy_No_Country_for_Old_Men?id=S6BJ94y1jnwC,$10.97,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780375706677,$16.00,http://www.indiebound.org/book/9780375706677?aff=rifflebooks,,,,,,,,
"The Amber Spyglass (His Dark Materials, #3)",9780440238157,https://dj6cnfthgyqas.cloudfront.net/0440238153-original.jpg,$32.31,https://play.google.com/store/audiobooks/details/Philip_Pullman_The_Amber_Spyglass_His_Dark_Materia?id=AQAAAACyoGigyM,$7.22,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780440238157,$8.99,http://www.indiebound.org/book/9780440238157?aff=rifflebooks,,,,,,,,
The Blind Assassin,9781860498800,https://dj6cnfthgyqas.cloudfront.net/1860498809-original.jpg,$13.99,https://play.google.com/store/books/details/Margaret_Atwood_The_Blind_Assassin?id=6AXhWb6UI-8C,,,,,,,,,,,,
"World Without End (Kingsbridge, #2)",9780525950073,https://dj6cnfthgyqas.cloudfront.net/0525950079-original.jpg,$47.08,https://play.google.com/store/audiobooks/details/Ken_Follett_World_Without_End?id=AQAAAAD4jzCP2M,$23.13,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780525950073,$35.00,http://www.indiebound.org/book/9780525950073?aff=rifflebooks,,,,,,,,
A Heartbreaking Work of Staggering Genius,9780375725784,https://dj6cnfthgyqas.cloudfront.net/0375725784-original.jpg,$11.99,https://play.google.com/store/books/details/Dave_Eggers_A_Heartbreaking_Work_Of_Staggering_Gen?id=OSfpEJpJzrIC,$11.05,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780375725784,$15.95,http://www.indiebound.org/book/9780375725784?aff=rifflebooks,,,,,,,,
The Shack,9780964729230,https://dj6cnfthgyqas.cloudfront.net/0964729237-original.jpg,$14.99,https://play.google.com/store/books/details/Wm_Paul_Young_The_Shack?id=S70eACcBxugC,$9.81,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780964729230,$15.00,http://www.indiebound.org/book/9780964729230?aff=rifflebooks,,,,,,,,
The History of Love,9780393328622,https://dj6cnfthgyqas.cloudfront.net/0393328627-original.jpg,$9.99,https://play.google.com/store/books/details/Nicole_Krauss_The_History_of_Love_A_Novel?id=N15cexxVFh8C,$10.12,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780393328622,$15.95,http://www.indiebound.org/book/9780393328622?aff=rifflebooks,,,,,,,,
The Omnivore's Dilemma: A Natural History of Four Meals,9781594200823,https://dj6cnfthgyqas.cloudfront.net/1594200823-original.jpg,$15.99,https://play.google.com/store/books/details/Michael_Pollan_The_Omnivore_s_Dilemma?id=QZ1D4Q8uZuoC,$25.34,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781594200823,$26.95,http://www.indiebound.org/book/9781594200823?aff=rifflebooks,,,,,,,,
